# Engine name: 
# Thu Sep 4 20:35:05 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5500    440.0000      3.0000     10.0000    905.0002   1240.9298     17.7941      1.2770      1.1500   1193.8018    191.2707    211.8416      1.5712      1.7402      1.0000 
     0.5500    447.0000      3.0000     10.0000    905.0002   1242.0947     17.8042      1.2772      1.1500   1194.0175    191.6262    212.1311      1.5739      1.7423      1.0000 
     0.5500    454.0000      3.0000     10.0000    905.0002   1243.2434     17.8141      1.2774      1.1501   1194.2295    191.9751    212.4155      1.5764      1.7443      1.0000 
     0.5500    461.0000      3.0000     10.0000    905.0002   1244.3762     17.8238      1.2775      1.1501   1194.4381    192.3178    212.6950      1.5790      1.7463      1.0000 
     0.5500    468.0000      3.0000     10.0000    905.0002   1245.4936     17.8335      1.2777      1.1501   1194.6433    192.6543    212.9696      1.5815      1.7482      1.0000 
     0.5500    475.0000      3.0000     10.0000    905.0002   1246.5960     17.8431      1.2779      1.1501   1194.8452    192.9849    213.2396      1.5839      1.7502      1.0000 
     0.5500    482.0000      3.0000     10.0000    905.0002   1247.6839     17.8525      1.2780      1.1501   1195.0439    193.3098    213.5050      1.5863      1.7520      1.0000 
     0.5500    489.0000      3.0000     10.0000    905.0002   1248.7576     17.8618      1.2782      1.1501   1195.2396    193.6292    213.7661      1.5887      1.7539      1.0000 
     0.5500    496.0000      3.0000     10.0000    905.0002   1249.8176     17.8710      1.2784      1.1501   1195.4322    193.9432    214.0230      1.5910      1.7557      1.0000 
     0.5500    503.0000      3.0000     10.0000    905.0002   1250.8641     17.8801      1.2785      1.1501   1195.6219    194.2520    214.2757      1.5933      1.7575      1.0000 
     0.5500    510.0000      3.0000     10.0000    905.0002   1251.8976     17.8891      1.2787      1.1501   1195.8088    194.5557    214.5244      1.5955      1.7593      1.0000 
     0.5500    517.0000      3.0000     10.0000    905.0002   1252.9184     17.8980      1.2788      1.1501   1195.9929    194.8546    214.7693      1.5977      1.7610      1.0000 
     0.5500    524.0000      3.0000     10.0000    905.0002   1253.9267     17.9068      1.2790      1.1501   1196.1743    195.1487    215.0104      1.5999      1.7627      1.0000 
     0.5500    531.0000      3.0000     10.0000    905.0002   1254.9230     17.9155      1.2791      1.1501   1196.3531    195.4383    215.2478      1.6020      1.7644      1.0000 
     0.5500    538.0000      3.0000     10.0000    905.0002   1255.9074     17.9241      1.2792      1.1502   1196.5294    195.7233    215.4817      1.6041      1.7661      1.0000 
     0.6000     90.0000      3.0000     10.0000    909.5345   1155.9978     16.6071      1.2488      1.1544   1191.7296    151.4806    182.1555      1.2465      1.4989      1.0000 
     0.6000     97.0000      3.0000     10.0000    909.5345   1160.6838     16.6395      1.2502      1.1546   1192.9004    153.8979    183.9001      1.2652      1.5118      1.0000 
     0.6000    104.0000      3.0000     10.0000    909.5345   1165.0825     16.6701      1.2515      1.1547   1193.9880    156.1038    185.5082      1.2821      1.5236      1.0000 
     0.6000    111.0000      3.0000     10.0000    909.5345   1169.2291     16.6992      1.2527      1.1548   1195.0032    158.1299    186.9983      1.2977      1.5346      1.0000 
     0.6000    118.0000      3.0000     10.0000    909.5345   1173.1525     16.7268      1.2538      1.1550   1195.9550    160.0018    188.3854      1.3120      1.5447      1.0000 
     0.6000    125.0000      3.0000     10.0000    909.5345   1176.8767     16.7532      1.2549      1.1551   1196.8505    161.7398    189.6821      1.3252      1.5542      1.0000 
     0.6000    132.0000      3.0000     10.0000    909.5345   1180.4221     16.7785      1.2559      1.1552   1197.6960    163.3606    190.8988      1.3376      1.5631      1.0000 
     0.6000    139.0000      3.0000     10.0000    909.5345   1183.8061     16.8027      1.2568      1.1553   1198.4966    164.8782    192.0442      1.3491      1.5714      1.0000 
     0.6000    146.0000      3.0000     10.0000    909.5345   1187.0434     16.8260      1.2577      1.1554   1199.2568    166.3039    193.1257      1.3599      1.5792      1.0000 
     0.6000    153.0000      3.0000     10.0000    909.5345   1190.1471     16.8484      1.2585      1.1555   1199.9804    167.6478    194.1497      1.3701      1.5867      1.0000 
     0.6000    160.0000      3.0000     10.0000    909.5345   1193.1282     16.8700      1.2593      1.1556   1200.6705    168.9180    195.1216      1.3797      1.5937      1.0000 
     0.6000    167.0000      3.0000     10.0000    909.5345   1195.9967     16.8908      1.2601      1.1557   1201.3302    170.1217    196.0461      1.3887      1.6004      1.0000 
     0.6000    174.0000      3.0000     10.0000    909.5345   1198.7612     16.9110      1.2608      1.1557   1201.9619    171.2651    196.9275      1.3973      1.6067      1.0000 
     0.6000    181.0000      3.0000     10.0000    909.5345   1201.4293     16.9306      1.2615      1.1558   1202.5678    172.3536    197.7692      1.4055      1.6128      1.0000 
     0.6000    188.0000      3.0000     10.0000    909.5345   1204.0080     16.9495      1.2622      1.1559   1203.1499    173.3919    198.5746      1.4133      1.6185      1.0000 
     0.6000    195.0000      3.0000     10.0000    909.5345   1206.5034     16.9679      1.2628      1.1559   1203.7100    174.3841    199.3464      1.4207      1.6241      1.0000 
     0.6000    202.0000      3.0000     10.0000    909.5345   1208.9209     16.9858      1.2634      1.1560   1204.2496    175.3339    200.0873      1.4278      1.6294      1.0000 
     0.6000    209.0000      3.0000     10.0000    909.5345   1211.2655     17.0032      1.2640      1.1561   1204.7701    176.2445    200.7993      1.4346      1.6345      1.0000 
     0.6000    216.0000      3.0000     10.0000    909.5345   1213.5418     17.0202      1.2646      1.1561   1205.2727    177.1188    201.4846      1.4411      1.6394      1.0000 
